Census House Number,Main Material of Floor,Main Material of Walls,Main Material of Ceiling,Building Usage,Condition of Building,Number of People,Name of Head of Family,Gender,Rooms in House,Married Pairs,Drinking Water Source,Location of Water Sources,Light Source,Sanitation Facilities,Rest Room,Sewage Flow,In Premises Bathing Facilities,Cooking Gas,Cooking Fuel,Radio Transmitter,TV,Internet Connection,Laptop / Computer,Transportation Mode,Primary Consumed Food,Phone Number
101,Cement,Soil/Mud,Penkulu,House,Livable,2,Saraswathi Kapu,Female,1,0,Well,Community,Electricity,Shared by community,No,Septic tank,Bathroom,LPG/PNG,Biogas,Smartphone,DTH connection,Yes,Yes,Bike,Rice and Sambar,6161559407
102,Soil/Mud,Soil/Mud,Asbestos Sheets,Rent,Non Livable,10,Balaji Gupta,Male,5,2,Packaged water,In range of 500m,Solar power,Walkable distance,Yes,Rings,N/A,LPG/PNG,Electricity,Smartphone,Cable connection,Yes,Yes,ATB,Millets,7276483503
103,Cement,Stones,Other materials,House,Livable,10,Priya Kuruma,Female,2,2,Hand pump,In premises,Electricity,Shared by community,Yes,Rings,N/A,LPG/PNG,Electricity,N/A,Doordarshan,No,No,ATB,Chapati,9916697848
104,Stone-slab flooring,Tiles/Bricks,Burnt Bricks,Shop,Livable,5,Lakshmi Singh,Female,6,0,Purified water,Community,Kerosene,Walkable distance,No,Rings,Bathroom,LPG/PNG,Biogas,Smartphone,DTH connection,Yes,Yes,N/A,Ragi Mudde,6957015430
105,Tiles/Bricks,Cement,Concrete,House,Livable,2,Anand Gupta,Male,1,0,Well,In range of 500m,Electricity,Usage only for family,Yes,Rings,Bathroom,LPG/PNG,Biogas,Smartphone,Cable connection,Yes,Yes,Bike,Rice and Dal,7930103105
106,Mosaic / Vitrified tiles,Cement,Concrete,Shop,Livable,3,Kishore Kapu,Male,6,0,Packaged water,In range of 500m,Electricity,Usage only for family,Yes,Septic tank,Bathroom,N/A,Cow dung cakes,N/A,Cable connection,Yes,No,N/A,Wheat,7872624731
107,Mosaic / Vitrified tiles,Mosaic / Vitrified tiles,Stone,House,Livable,9,Thirupathi Nayak,Male,1,0,Hand pump,In premises,Electricity,Usage only for family,Yes,N/A,Bathroom,N/A,Grass (dry),Smartphone,N/A,No,No,Bike,Wheat,6980500978
108,Cement,Tiles/Bricks,Burnt Bricks,House,Livable,3,Bhavani Chary,Female,1,0,Other sources,In premises,Electricity,Shared by community,Yes,Rings,Bathroom,N/A,Wood,Smartphone,DTH connection,Yes,No,Bike,Wheat,6079911838
109,Mosaic / Vitrified tiles,Cement,Concrete,Devotional Place,Livable,3,Santosh Kumar,Male,4,0,Other sources,Community,Electricity,Walkable distance,Yes,Rings,N/A,LPG/PNG,Kerosene,Smartphone,DTH connection,Yes,No,N/A,Rice,8874016400
110,Soil/Mud,Tiles/Bricks,Concrete,House,Livable,12,Vijay Munnuru,Male,5,3,Other sources,Community,Solar power,Shared by community,Yes,Septic tank,Bathroom,N/A,Cow dung cakes,N/A,DTH connection,No,No,N/A,Pulao,9923226025
